datadate,fyearq,fqtr,tic,conm,atq,ceqq,cheq,chq,cshoq,dlcq,dpq,intanq,ltq,niq,pstkq,pstkrq,seqq,txditcq,xsgaq,capxy,epspxy,costat,mkvaltq,sic
20100331,2010.0,1.0,AAL,AMERICAN AIRLINES GROUP INC,25525.0,-3892.0,5006.0,189.0,333.06,1140.0,267.0,981.0,29417.0,-505.0,0.0,0.0,-3892.0,0.0,739.0,317.0,-1.52,A,3034.1766,4512.0
20100630,2010.0,2.0,AAL,AMERICAN AIRLINES GROUP INC,25885.0,-3930.0,5545.0,197.0,333.06,1829.0,267.0,974.0,29815.0,-11.0,0.0,0.0,-3930.0,0.0,636.0,729.0,-1.55,A,2258.1468,4512.0
20100930,2010.0,3.0,AAL,AMERICAN AIRLINES GROUP INC,25357.0,-3643.0,5004.0,202.0,333.06,1776.0,274.0,967.0,29000.0,143.0,0.0,0.0,-3643.0,0.0,659.0,1412.0,-1.12,A,2088.2862,4512.0
20101231,2010.0,4.0,AAL,AMERICAN AIRLINES GROUP INC,25088.0,-3945.0,4946.0,168.0,333.45,1883.0,285.0,932.0,29033.0,-98.0,0.0,0.0,-3945.0,,695.0,1962.0,-1.41,A,2597.5755,4512.0
20110331,2011.0,1.0,AAL,AMERICAN AIRLINES GROUP INC,27113.0,-3949.0,6254.0,286.0,333.06,1962.0,276.0,925.0,31062.0,-436.0,0.0,0.0,-3949.0,,731.0,359.0,-1.31,A,2151.5676,4512.0
20110630,2011.0,2.0,AAL,AMERICAN AIRLINES GROUP INC,25787.0,-4509.0,5633.0,318.0,335.06,1830.0,266.0,919.0,30296.0,-286.0,0.0,0.0,-4509.0,,712.0,748.0,-2.16,A,1809.324,4512.0
20110930,2011.0,3.0,AAL,AMERICAN AIRLINES GROUP INC,24719.0,-4833.0,4770.0,304.0,335.06,1453.0,273.0,912.0,29552.0,-162.0,0.0,0.0,-4833.0,,739.0,1234.0,-2.64,A,991.7776,4512.0
20111231,2011.0,4.0,AAL,AMERICAN AIRLINES GROUP INC,23848.0,-7111.0,4739.0,283.0,335.268,1518.0,271.0,894.0,30959.0,-1095.0,0.0,0.0,-7111.0,,725.0,1610.0,-5.91,A,117.3438,4512.0
20120331,2012.0,1.0,AAL,AMERICAN AIRLINES GROUP INC,24511.0,-8686.0,5590.0,375.0,335.06,1659.0,260.0,887.0,33197.0,-1660.0,0.0,0.0,-8686.0,,703.0,238.0,-4.95,A,164.8495,4512.0
20120630,2012.0,2.0,AAL,AMERICAN AIRLINES GROUP INC,24726.0,-8968.0,5752.0,371.0,335.06,1654.0,261.0,881.0,33694.0,-240.0,0.0,0.0,-8968.0,,744.0,733.0,-5.67,A,183.9479,4512.0
20120930,2012.0,3.0,AAL,AMERICAN AIRLINES GROUP INC,23927.0,-7375.0,5073.0,508.0,335.06,1544.0,255.0,875.0,31302.0,-239.0,0.0,0.0,-7375.0,,720.0,1153.0,-6.38,A,122.2969,4512.0
