datadate,fyearq,fqtr,tic,conm,rating,atq,ceqq,cheq,chq,cshoq,dlcq,dpq,intanq,ltq,niq,pstkq,pstkrq,seqq,txditcq,xsgaq,capxy,epspxy,costat,mkvaltq,sic
20100331,2010,1,AAL,AMERICAN AIRLINES GROUP INC,CCC,25525,-3892,5006,189,333.06,1140,267,981,29417,-505,0,0,-3892,0,739,317,-1.52,A,3034.1766,4512
20100630,2010,2,AAL,AMERICAN AIRLINES GROUP INC,CCC,25885,-3930,5545,197,333.06,1829,267,974,29815,-11,0,0,-3930,0,636,729,-1.55,A,2258.1468,4512
20100930,2010,3,AAL,AMERICAN AIRLINES GROUP INC,CCC,25357,-3643,5004,202,333.06,1776,274,967,29000,143,0,0,-3643,0,659,1412,-1.12,A,2088.2862,4512
20101231,2010,4,AAL,AMERICAN AIRLINES GROUP INC,CCC,25088,-3945,4946,168,333.45,1883,285,932,29033,-98,0,0,-3945,,695,1962,-1.41,A,2597.5755,4512
20110331,2011,1,AAL,AMERICAN AIRLINES GROUP INC,CCC,27113,-3949,6254,286,333.06,1962,276,925,31062,-436,0,0,-3949,,731,359,-1.31,A,2151.5676,4512
20110630,2011,2,AAL,AMERICAN AIRLINES GROUP INC,CCC,25787,-4509,5633,318,335.06,1830,266,919,30296,-286,0,0,-4509,,712,748,-2.16,A,1809.324,4512
20110930,2011,3,AAL,AMERICAN AIRLINES GROUP INC,CCC,24719,-4833,4770,304,335.06,1453,273,912,29552,-162,0,0,-4833,,739,1234,-2.64,A,991.7776,4512
20111231,2011,4,AAL,AMERICAN AIRLINES GROUP INC,CCC,23848,-7111,4739,283,335.268,1518,271,894,30959,-1095,0,0,-7111,,725,1610,-5.91,A,117.3438,4512
20120331,2012,1,AAL,AMERICAN AIRLINES GROUP INC,CCC,24511,-8686,5590,375,335.06,1659,260,887,33197,-1660,0,0,-8686,,703,238,-4.95,A,164.8495,4512
20120630,2012,2,AAL,AMERICAN AIRLINES GROUP INC,CCC,24726,-8968,5752,371,335.06,1654,261,881,33694,-240,0,0,-8968,,744,733,-5.67,A,183.9479,4512
20120930,2012,3,AAL,AMERICAN AIRLINES GROUP INC,CCC,23927,-7375,5073,508,335.06,1544,255,875,31302,-239,0,0,-7375,,720,1153,-6.38,A,122.2969,4512
20121231,2012,4,AAL,AMERICAN AIRLINES GROUP INC,CCC,23510,-7987,4742,480,335.292,1419,239,869,31497,263,0,0,-7987,,725,1888,-5.6,A,266.5571,4512
20130331,2013,1,AAL,AMERICAN AIRLINES GROUP INC,CCC,23852,-8376,5097,606,335.06,1286,246,863,32228,-341,0,0,-8376,,1126,885,-1.37,A,1390.499,4512
20130630,2013,2,AAL,AMERICAN AIRLINES GROUP INC,CCC,26216,-8216,7073,604,335.06,1327,248,859,34432,219,0,0,-8216,,1130,1804,-0.49,A,1350.2918,4512
20130930,2013,3,AAL,AMERICAN AIRLINES GROUP INC,CCC,26780,-7922,7698,717,335.06,1359,245,853,34702,289,0,0,-7922,,1164,2400,0.5,A,1377.0966,4512
20131231,2013,4,AAL,AMERICAN AIRLINES GROUP INC,CCC,42278,-2731,10286,1140,261.069,1446,282,6397,45009,-2001,0,0,-2731,,1252,3114,-11.25,A,6591.9923,4512
20140331,2014,1,AAL,AMERICAN AIRLINES GROUP INC,CCC,43737,1095,10611,1259,649.953,1441,360,6408,42642,480,0,0,1095,,1656,1047,0.66,A,23788.2798,4512
