yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx
200001,1394.46,16.715333333333334,49.096666666666664,0.15465416004384142,0.053200000000000004,0.07780000000000001,0.0833,0.0666,0.02535878070683641,0.0040999999999999995,0.002970885323826611,0.0228,-0.0021,0.005206353996,0.00062237216,-0.04963,-0.050296
200002,1366.42,16.738666666666667,50.023333333333326,0.1670564326414902,0.0555,0.0768,0.08289999999999999,0.0646,0.027418814027088474,0.0043,0.005924170616113722,0.0264,0.0092,0.0030004219760000005,0.00040469089,-0.017458,-0.018666
200003,1498.58,16.762,50.949999999999996,0.14997356178980206,0.056900000000000006,0.0768,0.0837,0.0618,0.01829139008932665,0.004699999999999999,0.008244994110718329,0.0367,0.0169,0.006678340149000001,0.00018488374,0.098488,0.097431
200004,1452.43,16.74266666666667,51.273333333333326,0.15260041819792453,0.056600000000000004,0.0764,0.084,0.063,0.011944945832683738,0.0046,0.0005841121495329116,-0.0076,-0.0115,0.007941721182000002,-0.00038694213,-0.031585,-0.032308
200005,1420.6,16.723333333333336,51.596666666666664,0.15566873114331997,0.0579,0.0799,0.08900000000000001,0.064,0.009178527500564079,0.005,0.0011675423234092097,-0.0054,-0.0161,0.00518549797,8.9130356e-06,-0.022304,-0.023617
200006,1454.6,16.704,51.92,0.15677796158526175,0.056900000000000006,0.0767,0.0848,0.0622,0.007124212685825067,0.004,0.005247813411078717,0.0244,0.0326,0.002359742922,-0.00024674334,0.026219,0.025497
200007,1430.83,16.585,52.513333333333335,0.15567415100664705,0.0596,0.0765,0.08349999999999999,0.0611,0.004712233861061194,0.0048,0.002320185614849146,0.0173,0.0179,0.002065471217,7.1589538e-06,-0.012795,-0.013559
200008,1517.68,16.466,53.10666666666667,0.14605306404363275,0.060899999999999996,0.0755,0.08259999999999999,0.0594,0.004674638214227245,0.005,0.0,0.024,0.0135,0.001039275447,-0.00027761545,0.062594,0.061275
200009,1436.51,16.347,53.699999999999996,0.1537894628785958,0.06,0.0762,0.08349999999999999,0.0612,0.004468925797677385,0.0051,0.005208333333333259,-0.0157,0.0046,0.0015999826230000001,-0.00050848747,-0.052088,-0.052795
200010,1429.4,16.321666666666665,52.46666666666667,0.14930078887157974,0.0611,0.0755,0.0834,0.06,0.0037442803893113436,0.005600000000000001,0.0017271157167531026,0.0187,0.0045,0.005568072940000002,-0.0013389528,-0.00412,-0.004829
200011,1314.95,16.296333333333333,51.233333333333334,0.1572808929257013,0.0617,0.0745,0.0828,0.0576,0.0011574522068565425,0.0051,0.0005747126436781436,0.0319,0.0263,0.003272437096,-0.0018525551,-0.078268,-0.079557
200012,1320.28,16.270999999999997,50.0,0.15185150364920535,0.057699999999999994,0.0721,0.0802,0.0558,-0.00226174721750238,0.005,-0.0005743825387707346,0.0243,0.027,0.005299358621000002,-0.00052485301,0.00572,0.004861
